docs_path,bytes,canonical_asset_paths,blob_sha
docs/gm-facing/assets/icons/adversaries-features/kinetic-slam.webp,499608,assets/icons/attacks/kinetic-slam.webp,d623b6ed2b8ee09d0a5145203e98b6e308c7df97
docs/gm-facing/assets/icons/adversaries-features/overload.webp,222190,assets/icons/domains/circuit/overload.webp,5a628e28919ace477a26ed3389a62f463be77d45
docs/gm-facing/assets/icons/adversaries-features/pinning-strike.webp,175420,assets/icons/features/pinning-strike.webp,58e3ba2290cce9393070a8f1a1f05c9429d8d5e8
docs/gm-facing/assets/icons/adversaries-features/whirlwind.webp,192698,assets/icons/subclasses/whirlwind.webp,f9c090452eb58fcf1a9d3dbfc5d02c42942f7c6d
docs/gm-facing/assets/icons/adversaries/ar-projector.webp,205300,assets/icons/adversaries/ar-projector.webp,60ac8dad4e6a85d8b7b9d45540ef66753f579925
docs/gm-facing/assets/icons/adversaries/augmented-street-performer.webp,283456,assets/icons/adversaries/augmented-street-performer.webp,42f7b67d700ccbeefaed3e3baf80b9c667ea1c2b
docs/gm-facing/assets/icons/adversaries/auto-targeting-sniper-node.webp,224924,assets/icons/adversaries/auto-targeting-sniper-node.webp,9e01430aa0064df9263be9ed058337bb327af915
docs/gm-facing/assets/icons/adversaries/automated-barricade-deployment-system.webp,413240,assets/icons/adversaries/automated-barricade-deployment-system.webp,90013076b9f43ceff44f6b10b7512e6cc01ab1f9
docs/gm-facing/assets/icons/adversaries/automated-machinegun-turret.webp,263928,assets/icons/adversaries/automated-machinegun-turret.webp,085f1ba2ce89036427a3361f775b173d4538af20
docs/gm-facing/assets/icons/adversaries/autonomous-combat-drone-aerial.webp,279326,assets/icons/adversaries/autonomous-combat-drone-aerial.webp,cd8c300c0336603acb3cc473eefde5b64e4ccf27
docs/gm-facing/assets/icons/adversaries/autonomous-combat-drone-ground.webp,335580,assets/icons/adversaries/autonomous-combat-drone-ground.webp,32f9395169cd49da5f338b6e3fe4f5d5f9008a7b
docs/gm-facing/assets/icons/adversaries/autonomous-guard-bot.webp,279876,assets/icons/adversaries/autonomous-guard-bot.webp,c8cf3315b474f1154427b3d7bdc35771ed164fdb
